brand,model_year,milage,fuel_type,ext_col,int_col,accident,price,horsepower,displacement,cylinders,transmission_type,gears
24,2016,144000.0,3,0,0,0,0,340.0,3.0,6.0,0,8.0
7,2019,44500.0,3,1,8,1,1,237.0,2.0,4.0,0,9.0
4,2021,10917.0,3,0,0,1,3,335.0,4.4,6.0,0,8.0
5,2005,8332.0,3,9,6,1,2,400.0,6.75,8.0,0,4.0
26,2020,51247.0,3,3,6,1,2,304.0,3.0,6.0,0,6.0
34,2016,69000.0,3,0,2,1,1,550.0,5.5,8.0,0,7.0
41,2021,147834.0,3,9,0,1,1,395.0,3.6,6.0,0,6.0
13,2013,105000.0,1,9,0,0,0,300.0,3.7,6.0,0,8.0
3,2011,92203.0,3,8,6,1,0,211.0,2.0,4.0,0,8.0
37,2010,15600.0,3,9,0,1,3,485.0,3.8,6.0,0,7.0
24,2018,104700.0,3,9,6,0,1,380.0,3.0,6.0,0,8.0
49,2010,72348.0,3,8,3,0,0,132.0,1.8,4.0,0,6.0
42,2023,2500.0,2,4,8,1,4,835.0,0.0,0.0,0,1.0
34,2022,13177.0,3,9,0,1,2,362.0,2.0,8.0,0,7.0
40,2016,96000.0,5,9,7,0,1,416.0,3.0,6.0,0,7.0
8,2011,93009.0,1,9,6,1,1,355.0,5.3,8.0,0,4.0
19,2016,52750.0,4,9,0,0,1,360.0,3.5,6.0,0,7.0
3,2020,25361.0,4,3,0,1,2,333.0,3.0,6.0,0,8.0
4,2015,41000.0,3,0,0,1,1,445.0,4.4,8.0,0,8.0
47,2021,42125.0,3,0,0,1,1,227.0,2.5,4.0,1,1.0
34,2016,62000.0,3,0,0,1,1,469.0,4.0,8.0,0,7.0
24,2006,153843.0,3,8,6,0,0,300.0,4.4,8.0,0,6.0
4,2019,35248.0,3,3,0,1,2,335.0,3.0,6.0,0,8.0
13,2015,194454.0,3,9,0,1,0,169.0,2.5,4.0,0,6.0
25,2021,21000.0,3,9,0,1,4,383.0,5.7,8.0,0,8.0
10,2006,218000.0,3,8,3,1,0,330.0,5.7,8.0,0,4.0
37,2021,67800.0,3,3,0,0,1,400.0,5.6,8.0,0,7.0
40,2014,79000.0,3,8,0,0,2,275.0,2.7,6.0,0,7.0
34,2022,24906.0,4,3,0,1,3,362.0,3.0,8.0,0,7.0
8,2006,66840.0,3,9,3,0,0,303.0,5.3,8.0,0,6.0
4,2013,86000.0,3,1,8,1,1,560.0,4.4,8.0,0,8.0
18,2023,654.0,3,0,0,1,1,240.0,2.0,4.0,0,8.0
8,2005,75000.0,3,0,0,1,0,240.0,3.8,6.0,0,6.0
24,2015,84000.0,3,6,0,0,1,240.0,2.0,4.0,0,9.0
3,2017,52500.0,3,3,3,1,1,450.0,4.0,8.0,0,8.0
14,2011,120000.0,3,3,3,1,0,288.0,3.6,6.0,0,6.0
1,2020,18665.0,3,9,6,1,1,280.0,2.0,4.0,0,8.0
12,2016,19987.0,3,0,2,1,4,651.0,6.3,12.0,0,7.0
22,2017,36486.0,3,0,6,0,1,420.0,5.0,8.0,0,8.0
13,2013,162100.0,1,0,3,1,0,255.0,5.4,8.0,0,4.0
48,2022,13079.0,2,0,8,1,2,455.0,0.0,0.0,0,1.0
49,2022,28377.0,3,3,3,1,1,268.0,4.0,6.0,0,5.0
47,2020,32744.0,3,0,3,1,1,182.0,2.5,4.0,1,1.0
40,2012,54000.0,3,9,6,0,1,300.0,3.6,6.0,0,7.0
49,2008,202055.0,3,3,3,0,0,236.0,4.0,6.0,0,6.0
41,2019,65000.0,0,0,0,1,3,370.0,6.7,6.0,0,6.0
22,2022,9686.0,3,8,0,1,1,199.5,2.4,4.0,0,6.0
7,2010,49620.0,3,9,3,1,0,275.0,4.6,8.0,0,8.0
49,1997,213000.0,3,9,6,1,1,212.0,4.5,6.0,0,4.0
37,2020,16010.0,3,9,0,1,4,565.0,3.8,6.0,0,7.0
25,2023,820.0,3,0,0,1,2,301.0,2.4,6.0,3,8.0
3,2021,68000.0,3,1,0,1,1,248.0,2.0,4.0,0,8.0
25,1999,82000.0,3,9,6,1,1,230.0,4.7,8.0,0,8.0
14,2022,27352.0,3,9,0,1,1,355.0,1.5,4.0,0,9.0
