Make,Price,Year,Kilometer,Fuel Type,Transmission,Location,Color,Owner,Seller Type,Engine,Drivetrain,Length,Width,Height,Seating Capacity,Fuel Tank Capacity,Horsepower,HP RPM,Torque,Torque RPM
1,3,2018,21114.0,2,0,15,14,0,1,1.995,2,4454.0,2044.0,1545.0,5.0,63.0,184.0,4000.0,350.0,1750
18,0,2017,22392.018,5,1,45,13,0,2,1.197,1,3995.0,1745.0,1500.0,5.0,37.0,83.0,6000.0,115.0,4000
8,1,2016,54648.0,2,0,1,13,0,2,1.582,1,4270.0,1780.0,1630.0,5.0,60.0,126.0,4000.0,265.0,1900
30,0,2015,60927.551999999996,5,1,45,4,0,2,1.598,1,4384.0,1699.0,1466.0,5.0,55.0,103.0,5250.0,153.0,3800
20,1,2013,36018.0,2,0,6,13,0,2,2.1430000000000002,2,4596.0,1770.0,1447.0,5.0,66.0,170.0,4200.0,400.0,2800
29,1,2015,57352.455,5,0,45,13,0,2,2.494,1,4825.0,1825.0,1480.0,5.0,65.0,202.0,5700.0,270.0,4500
18,0,2019,10340.892,5,1,1,14,0,2,1.197,1,3995.0,1735.0,1515.0,5.0,37.0,89.0,6000.0,113.0,4400
22,0,2016,47558.664,2,1,45,14,0,2,1.461,1,4331.0,1822.0,1671.0,5.0,50.0,108.0,3900.0,248.0,2250
18,0,2015,26392.5,0,1,45,4,0,2,0.998,1,3599.0,1495.0,1700.0,5.0,35.0,58.0,6200.0,77.0,3500
18,0,2016,43470.0,2,1,44,7,0,2,1.248,1,3995.0,1790.0,1640.0,5.0,48.0,89.0,4000.0,200.0,1750
23,4,2022,1717.686,5,0,45,2,0,2,2.995,0,4931.0,1983.0,1676.0,4.0,75.0,335.0,5300.0,450.0,1340
20,4,2017,34776.0,5,0,21,14,1,2,1.991,2,4686.0,1810.0,1409.0,4.0,59.0,241.0,5500.0,370.0,1300
8,0,2015,42703.686,5,1,45,13,0,2,1.197,1,3985.0,1734.0,1505.0,5.0,45.0,82.0,6000.0,115.0,4000
8,0,2018,10146.519,5,1,36,1,0,2,1.591,1,4375.0,1700.0,1475.0,5.0,43.0,121.0,6300.0,158.0,4200
7,0,2016,39670.722,5,1,45,3,0,2,1.198,1,3990.0,1680.0,1505.0,5.0,35.0,87.0,6000.0,109.0,4500
29,0,2012,17842.572,5,1,74,13,0,2,1.798,1,4540.0,1760.0,1480.0,5.0,55.0,138.0,6400.0,173.0,4000
8,0,2017,31887.729,5,1,48,12,0,2,1.197,1,3985.0,1734.0,1505.0,5.0,45.0,82.0,6000.0,115.0,4000
8,0,2014,38418.786,5,0,67,14,0,2,1.197,1,3765.0,1660.0,1520.0,5.0,43.0,79.0,6000.0,112.0,4000
8,1,2017,18258.021,5,1,45,7,0,2,1.591,1,4270.0,1780.0,1630.0,5.0,60.0,122.0,6400.0,154.0,4850
0,1,2012,61218.18,2,0,22,14,0,2,1.968,1,4915.0,1874.0,1455.0,5.0,65.0,177.0,3750.0,380.0,1750
1,4,2021,4968.0,2,0,15,1,0,2,1.995,2,4454.0,2044.0,1545.0,5.0,63.0,184.0,4000.0,350.0,1750
17,1,2020,19467.108,2,1,6,14,0,2,1.497,1,3995.0,1821.0,1627.0,5.0,42.0,115.0,3750.0,300.0,1500
18,0,2018,17916.471,2,1,36,2,0,1,1.248,1,3840.0,1735.0,1530.0,5.0,37.0,74.0,4000.0,190.0,2000
17,1,2021,5290.299,5,1,45,2,0,2,1.997,0,3985.0,1820.0,1844.0,4.0,57.0,150.0,5000.0,300.0,1250
7,0,2011,48438.0,5,1,56,3,0,2,1.497,1,4420.0,1695.0,1480.0,5.0,42.0,118.0,6600.0,146.0,4600
20,2,2015,29808.0,2,0,45,14,0,2,2.1430000000000002,2,4879.0,1854.0,1474.0,5.0,80.0,204.0,4200.0,500.0,1600
29,1,2014,88803.0,2,0,20,14,1,2,2.982,2,4705.0,1840.0,1850.0,7.0,80.0,169.0,3600.0,360.0,1400
28,0,2017,24219.0,2,1,59,13,0,0,1.248,1,3995.0,1706.0,1570.0,5.0,44.0,74.0,4000.0,190.0,1750
26,0,2014,14904.0,5,0,45,0,1,2,1.598,1,4386.0,1699.0,1466.0,5.0,55.0,104.0,5250.0,153.0,3800
18,0,2015,38502.0,5,1,32,8,1,2,0.796,1,3395.0,1490.0,1475.0,5.0,35.0,47.0,6000.0,69.0,3500
18,0,2012,48438.0,2,1,30,14,1,2,1.248,1,4265.0,1695.0,1685.0,7.0,45.0,89.0,4000.0,200.0,1750
6,0,2014,50922.0,2,1,40,14,1,2,1.399,1,3795.0,1680.0,1427.0,5.0,45.0,68.0,4000.0,160.0,2000
0,3,2020,25405.11,2,0,6,14,0,2,1.968,1,4456.0,1796.0,1416.0,5.0,50.0,141.0,3500.0,320.0,1750
28,2,2020,6390.09,2,1,6,12,0,2,1.956,1,4598.0,1894.0,1706.0,5.0,50.0,168.0,3750.0,350.0,1750
8,1,2021,6539.13,5,0,6,12,0,2,0.998,1,3995.0,1775.0,1505.0,5.0,37.0,118.0,6000.0,172.0,1500
8,0,2015,38439.9,5,1,24,13,0,2,1.197,1,3985.0,1734.0,1505.0,5.0,45.0,82.0,6000.0,115.0,4000
30,0,2013,48438.0,2,1,6,14,1,2,1.199,1,3970.0,1682.0,1453.0,5.0,45.0,74.0,4200.0,180.0,2000
18,0,2014,35646.642,5,1,15,7,0,2,1.197,1,3995.0,1695.0,1555.0,5.0,42.0,85.0,6000.0,114.0,4000
8,0,2013,35397.0,0,1,32,14,0,2,1.086,1,3565.0,1525.0,1590.0,5.0,35.0,62.0,5500.0,96.0,3000
8,0,2015,54337.5,5,1,24,7,0,2,1.197,1,3765.0,1660.0,1520.0,5.0,43.0,81.0,6000.0,114.0,4000
8,2,2022,11178.0,5,0,15,1,0,2,1.353,1,4300.0,1790.0,1635.0,5.0,50.0,138.0,6000.0,242.0,1500
0,3,2020,6644.7,5,0,1,14,0,2,1.984,0,4318.0,1805.0,1548.0,5.0,55.0,188.0,4200.0,320.0,1500
0,4,2018,48438.0,2,0,10,1,0,2,2.967,0,5052.0,1968.0,1740.0,7.0,75.0,245.0,2910.0,600.0,1500
8,1,2020,10111.122,5,0,56,14,0,2,0.998,1,3995.0,1775.0,1505.0,5.0,37.0,118.0,6000.0,172.0,1500
8,0,2013,40986.0,2,1,4,7,2,2,1.582,1,4370.0,1700.0,1475.0,5.0,43.0,126.0,4000.0,260.0,1900
18,0,2017,44723.799,5,1,59,13,1,2,0.998,1,3599.0,1495.0,1700.0,5.0,35.0,67.0,6200.0,90.0,3500
17,0,2007,57237.57,2,1,59,14,1,2,2.609,2,4495.0,1817.0,1975.0,7.0,60.0,116.0,3800.0,277.0,1700
8,0,2018,34292.241,5,1,45,14,0,2,1.197,1,3765.0,1660.0,1520.0,5.0,43.0,81.0,6000.0,114.0,4000
29,4,2018,15525.0,2,0,51,14,0,2,2.755,2,4795.0,1855.0,1835.0,7.0,80.0,174.0,3400.0,450.0,1600
0,4,2022,0.621,5,0,15,2,3,2,1.984,0,4663.0,1898.0,1659.0,5.0,70.0,248.0,5000.0,370.0,1600
24,1,2020,14593.5,5,1,11,14,0,2,1.498,1,4360.0,1822.0,1695.0,5.0,50.0,105.0,5600.0,142.0,4000
18,0,2012,42228.0,5,1,32,14,1,2,1.197,1,3995.0,1695.0,1555.0,5.0,42.0,85.0,6000.0,114.0,4000
8,1,2019,18068.615999999998,5,0,45,14,0,2,1.591,1,4270.0,1780.0,1665.0,5.0,55.0,122.0,6400.0,151.0,4850
8,0,2016,38019.483,5,1,32,14,0,2,1.197,1,3765.0,1660.0,1520.0,5.0,43.0,81.0,6000.0,114.0,4000
11,1,2017,53406.0,2,1,40,14,0,2,1.956,1,4395.0,1818.0,1640.0,5.0,60.0,171.0,3750.0,350.0,1750
8,0,2013,54027.0,2,1,40,14,0,2,1.582,1,4440.0,1729.0,1475.0,5.0,45.0,126.0,4000.0,260.0,1500
8,0,2013,49237.227,5,1,32,14,0,2,1.197,1,3995.0,1710.0,1505.0,5.0,45.0,83.0,6000.0,113.796,4000
0,4,2018,30394.845,2,0,22,1,0,1,1.968,1,4933.0,1874.0,1455.0,5.0,75.0,190.0,3800.0,400.0,1750
17,1,2019,10557.0,2,1,39,6,0,2,1.497,1,4585.0,1866.0,1774.0,8.0,45.0,121.0,3500.0,300.0,1750
12,1,2019,34155.0,2,1,39,13,0,2,1.493,1,4315.0,1800.0,1645.0,5.0,50.0,113.0,4000.0,250.0,1500
18,0,2016,24081.759,5,1,45,2,0,2,1.197,1,3995.0,1745.0,1500.0,5.0,37.0,83.0,6000.0,115.0,4000
20,4,2019,44712.0,2,0,56,14,0,2,1.95,2,5063.0,1860.0,1494.0,5.0,80.0,192.0,3800.0,400.0,1600
18,1,2016,41607.0,2,1,50,14,0,2,1.248,1,4296.0,1695.0,1685.0,7.0,45.0,89.0,4000.0,200.0,1750
8,0,2017,41607.0,5,1,50,14,0,2,1.591,1,4370.0,1700.0,1475.0,5.0,43.0,121.0,6300.0,158.0,4200
8,0,2012,43470.0,2,1,30,14,1,2,1.582,1,4370.0,1700.0,1475.0,5.0,43.0,126.0,4000.0,260.0,1900
13,4,2020,3726.0,2,0,27,14,0,2,1.999,0,4600.0,2069.0,1724.0,7.0,70.0,177.0,4000.0,430.0,1750
29,3,2017,28566.0,2,0,15,14,0,2,2.755,2,4795.0,1855.0,1835.0,7.0,80.0,174.0,3400.0,450.0,1600
20,4,2017,21114.0,2,0,50,13,0,2,2.1430000000000002,0,4819.0,2141.0,1796.0,5.0,93.0,201.0,3800.0,500.0,1600
8,0,2015,14346.963,5,1,68,14,0,2,1.197,1,3995.0,1660.0,1520.0,5.0,43.0,81.0,6000.0,114.0,4000
20,4,2016,16767.0,5,0,15,2,0,2,4.663,2,5453.0,1899.0,1498.0,4.0,70.0,453.0,5250.0,700.0,1800
8,1,2019,5946.696,5,0,6,14,0,2,1.591,1,4270.0,1780.0,1665.0,5.0,55.0,122.0,6400.0,151.0,4850
15,2,2021,1205.982,5,0,6,12,0,2,1.498,1,4323.0,1809.0,1650.0,5.0,48.0,108.0,6000.0,144.0,4400
